PUR,INDIV,SING
5154.0,2683.0,3109.0
5384.0,2833.0,3314.0
5497.0,2870.0,3369.0
5672.0,3062.0,3520.0
5821.0,3150.0,3629.0
5929.0,3235.0,3636.0
6053.0,3445.0,3700.0
6302.0,3499.0,3841.0
6414.0,3655.0,3863.0
6352.0,3753.0,3939.0
6708.0,3769.0,4152.0
7045.0,3855.0,4316.0
7310.0,3989.0,4549.0
7720.0,4009.0,4855.0
8138.0,4067.0,5139.0
8692.0,4264.0,5532.0
9124.0,4447.0,5800.0
9756.0,4678.0,6262.0
10821.0,4998.0,7004.0
12143.0,5285.0,8022.0
13650.0,5685.0,9089.0
15743.0,5940.0,10584.0
18736.0,6397.0,12775.0
22620.0,7162.0,15484.0
28929.0,8160.0,19863.0
39418.0,9235.0,27671.0
54792.0,10730.0,40795.0
67603.0,12937.0,52733.0
64419.0,15634.0,50850.0
48531.0,20018.0,37480.0
33372.0,27837.0,24607.0
23865.0,40967.0,17145.0
18430.0,52903.0,13059.0
14868.0,51001.0,10457.0
12323.0,37629.0,8751.0
10344.0,24738.0,7359.0
8940.0,17283.0,6332.0
7653.0,13211.0,5326.0
6848.0,10593.0,4752.0
6032.0,8917.0,4214.0
5325.0,7528.0,3740.0
4895.0,6460.0,3375.0
4529.0,5477.0,3152.0
4187.0,4910.0,2954.0
3756.0,4367.0,2636.0
3539.0,3900.0,2481.0
3224.0,3517.0,2301.0
3015.0,3291.0,2130.0
2815.0,3087.0,2029.0
2599.0,2778.0,1860.0
2438.0,2613.0,1747.0
2342.0,2440.0,1690.0
2275.0,2253.0,1623.0
2122.0,2164.0,1526.0
2093.0,1990.0,1502.0
2028.0,1882.0,1459.0
1862.0,1813.0,1360.0
1733.0,1771.0,1281.0
1703.0,1656.0,1257.0
1693.0,1651.0,1280.0
1615.0,1597.0,1210.0
1608.0,1496.0,1195.0
1526.0,1424.0,1151.0
1400.0,1411.0,1056.0
1336.0,1422.0,984.0
1323.0,1349.0,999.0
1243.0,1324.0,949.0
1221.0,1282.0,917.0
1219.0,1182.0,933.0
1166.0,1097.0,899.0
1149.0,1139.0,901.0
1129.0,1080.0,879.0
1129.0,1042.0,887.0
1088.0,1071.0,858.0
1041.0,1050.0,818.0
1090.0,1052.0,877.0
1026.0,1021.0,825.0
991.0,1023.0,787.0
989.0,1000.0,781.0
912.0,948.0,743.0
959.0,1008.0,782.0
905.0,970.0,746.0
871.0,935.0,709.0
899.0,929.0,734.0
903.0,893.0,757.0
877.0,935.0,711.0
808.0,873.0,653.0
837.0,837.0,684.0
842.0,874.0,703.0
866.0,906.0,700.0
870.0,842.0,711.0
806.0,795.0,658.0
809.0,820.0,665.0
813.0,848.0,658.0
777.0,846.0,652.0
757.0,855.0,632.0
781.0,804.0,653.0
771.0,802.0,649.0
773.0,810.0,639.0
766.0,821.0,650.0
764.0,790.0,640.0
775.0,800.0,647.0
728.0,788.0,618.0
722.0,778.0,622.0
724.0,786.0,602.0
713.0,786.0,605.0
709.0,786.0,595.0
715.0,767.0,601.0
707.0,769.0,600.0
719.0,745.0,617.0
726.0,760.0,620.0
719.0,750.0,615.0
754.0,740.0,632.0
727.0,755.0,618.0
740.0,776.0,622.0
696.0,787.0,597.0
